directory_category,post_content,location_address__street,location_address__city,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,post_title,field_phone,field_social_accounts__facebook,field_website
Resto et Snack,Description à venir,rue van humbeeck,chimay,"rue van humbeeck, 6460 Chimay",50.047581,chimay,4.319759,6460.0,La Petite Fourchette,060/730443,https://www.facebook.com/La-petite-fourchette-1641672419439198,A venir
Commerce et Service,Description à venir,"Grand-Place, 26",chimay,"Grand-Place, 26, 6460 CHIMAY",50.049137,chimay,4.315973,6460.0,La Providence,060/21 10 34,A venir,A venir
animaux,Description à venir,Rue des Tilleuls 14,chimay,"Rue des Tilleuls 14, 6460 CHIMAY",50.04598,chimay,4.30471,6460.0,La Vallee Des Toutous,0474 58 16 45,https://www.facebook.com/valedestoutous,A venir
Resto et Snack,Description à venir,Rue du Pont du Welz,chimay,"Rue du Pont du Welz, 6460 CHIMAY",50.048698,chimay,4.315263,6460.0,L'After,0,A venir,A venir
Commerce et Service,"<img class=""alignnone size-medium wp-image-3615"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/anamorphose-300x219.jpg"" alt="""" width=""300"" height=""219"" />Description à venir",Rue du Marché 4a,virelles,"Rue du Marché 4a, 6461 VIRELLES",50.064373,virelles,4.333404,6461.0,L'Anamorphose,060/51 11 70,https://www.facebook.com/Lanamorphose-salon-de-coiffure-253021834749181,https://www.coiffurelanamorphose.be-
Art et Lieux Historiques,"<img class=""alignnone size-medium wp-image-3595"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/76190537_744916546023092_2054640211840729088_n-300x225.jpg"" alt="""" width=""300"" height=""225"" />Description à venir",Rue au Filet 18,chimay,"Rue au Filet 18, 6460 CHIMAY",50.048905,chimay,4.315866,6460.0,L'Atelier D'Isa,0477/76 70 61,https://www.facebook.com/Atelier.Poterie.Chimay.ceramique.activite/,A venir
Resto et Snack,Description à venir,"Rue de Rocroi,102",baileux,"Rue de Rocroi,102, 6464 BAILEUX",50.00322,baileux,4.38089,6464.0,L'Attrape-Loup,060/21 11 47,https://www.facebook.com/LattrapeLoup,A venir
Resto et Snack,Description à venir,"Chée de Mons, 55b",chimay,"Chée de Mons, 55b, 6460 CHIMAY",50.070685,chimay,4.293893,6460.0,Le Beauchamp,060/21 38 70,https://www.facebook.com/LeBeauchamp,A venir
Resto et Snack,Description à venir,Place de Virelles 18,virelles,"Place de Virelles 18, 6461 VIRELLES",50.062616,virelles,4.333511,6461.0,Le Cerf Feuille,060/34 63 72,https://www.facebook.com/Cerffeuillevirelles,A venir
Resto et Snack,Description à venir,Rue rogier,chimay,"Rue rogier, 6460 Chimay",50.049302,chimay,4.316648,6460.0,Le Comptoir D'Oscar,060/512935,https://www.facebook.com/Le-comptoir-dOscar-656673934854338,A venir
Resto et Snack,Description à venir,"Rue de Virelles,18",chimay,"Rue de Virelles,18, 6460 CHIMAY",50.049156,chimay,4.320624,6460.0,Le Croc'Midi,060/51 41 14 NON ATTRIBUE,https://www.facebook.com/Le-CrocMidi-Sandwicherie-Chimay-221812484548388,A venir
Commerce et Service,Description à venir,rue forge-monseu,virelles,"rue forge-monseu, 6461 virelles",50.05324,virelles,4.33813,6461.0,Le Jardin Des 2 Rivieres,0476/338429,https://www.facebook.com/pages/category/Gardener/Jardin-des-deux-Rivi%C3%A8res-2375970539293927/,http://www.jardindesdeuxrivieres.be/
Commerce et Service,Description à venir,Rue du Feuillet 18,saint-remy,"Rue du Feuillet 18, 6460 SAINT-REMY",50.043149,saint-remy,4.29917,6460.0,Le Jardin Du Feuillet,060/21 36 69,A venir,A venir
Commerce et Service,Description à venir,Rue de Bailièvre 96B,robechies,"Rue de Bailièvre 96B, 6460 ROBECHIES",50.070643,robechies,4.276234,6460.0,Le Marteaubois,0475/36 18 35,A venir,A venir
Resto et Snack,Description à venir,Pl. de l'église 23,baileux,"Pl. de l'église 23, 6464 BAILEUX",50.02871,baileux,4.37605,6464.0,Le Nemrod,060/51 24 90,A venir,A venir
Autre,Description à venir,"Rue des Ormeaux, 25",chimay,"Rue des Ormeaux, 25, 6460 CHIMAY",50.0477,chimay,4.316348,6460.0,Le Papyrus,060/21 44 08,https://www.facebook.com/librairiechimay,A venir
Commerce et Service,Description à venir,"Place du Chapitre, 5",chimay,"Place du Chapitre, 5, 6460 CHIMAY",50.049597,chimay,4.316536,6460.0,Le Petit Chapitre,060/21 10 42,A venir,A venir
Resto et Snack,Description à venir,"Grand Place, 28",chimay,"Grand Place, 28, 6460 CHIMAY",50.049138,chimay,4.31597,6460.0,Le Picotin,060/21 18 97,A venir,A venir
Sports et Loisirs,Description à venir,Chaussée de Couvin 3,chimay,"Chaussée de Couvin 3, 6460 CHIMAY",50.04731,chimay,4.319616,6460.0,Le P'Ti Fleuriste,060/41 12 77,https://www.facebook.com/leptifleuriste/,A venir
Resto et Snack,Description à venir,"Grand-rue, 22",chimay,"Grand-rue, 22, 6460 CHIMAY",50.048647,chimay,4.314167,6460.0,Le Queen-Mary,060/21 23 81,https://www.facebook.com/queenmarychimay,A venir
Resto et Snack,Description à venir,"Place Léopold, 3",chimay,"Place Léopold, 3, 6460 CHIMAY",50.04763,chimay,4.318446,6460.0,Le Relais,060/21 13 53,A venir,A venir
Resto et Snack,Description à venir,R. de Bailièvre 2b,robechies,"R. de Bailièvre 2b, 6460 ROBECHIES",50.072694,robechies,4.259559,6460.0,Le Repos Du Templier,0497/46 86 92,A venir,A venir
